Geneid	entrez_gene	genomic_acc	start_pos	end_pos	strand	gene_symbol	transcript_acc	description
gene15188	7824766	NW_002476345.1	8244	9830	+	TTHERM_01196970	XM_001020264.1	hypothetical protein
gene15189	24441898	NW_002476345.1	11878	12363	-	TTHERM_001196975	XM_012798630.1	transmembrane protein, putative
gene15190	7824768	NW_002476345.1	14877	22457	-	TTHERM_01197000	XM_001020267.1	transmembrane protein, putative
gene15191	7824770	NW_002476345.1	27262	30922	-	TTHERM_01197010	XM_001020268.2	ubiquitin carboxyl-terminal hydrolase family protein
gene15192	7824771	NW_002476345.1	35887	39815	-	TTHERM_01197020	XM_001020269.2	transmembrane protein, putative
gene15193	7824772	NW_002476345.1	41127	42554	+	TTHERM_01197030	XM_001020270.2	F-box associated region protein
gene15194	24441899	NW_002476345.1	42929	43894	+	TTHERM_001197031	XM_012798631.1	hypothetical protein
gene15195	7824773	NW_002476345.1	46233	48205	+	TTHERM_01197050	XM_001020272.4	H-type lectin domain protein
gene15196	7824774	NW_002476345.1	49153	50367	-	TTHERM_01197060	XM_001020273.3	KIN17 curved DNA-binding domain protein
gene15197	7824775	NW_002476345.1	50845	51758	+	TTHERM_01197070	XM_001020274.3	purine nucleoside phosphorylase
gene15198	7824776	NW_002476345.1	52145	55321	+	TTHERM_01197080	XM_001020275.2	hypothetical protein
gene15199	7824777	NW_002476345.1	56075	57244	+	TTHERM_01197090	XM_001020276.1	FAD/FMN-binding family oxidoreductase
gene15200	7824780	NW_002476345.1	59098	61210	+	TTHERM_01197120	XM_001020279.2	DEAD/DEAH-box helicase
gene15201	7824781	NW_002476345.1	62785	63698	-	TTHERM_01197130	XM_001020280.3	inhibitor of apoptosis-promoting Bax1 protein
gene15202	7824782	NW_002476345.1	64676	65999	-	TTHERM_01197140	XM_001020281.3	bromodomain associated protein
gene15203	7824783	NW_002476345.1	66380	68483	-	TTHERM_01197150	XM_001020282.2	ABC1 family protein
gene15204	7824784	NW_002476345.1	69280	70374	-	TTHERM_01197160	XM_001020283.3	transmembrane protein, putative
gene15205	7824785	NW_002476345.1	70862	72402	+	TTHERM_01197170	XM_001020284.3	hypothetical protein
gene15206	7837413	NW_002476344.1	1998	3163	+	TTHERM_01370770	XM_001020285.3	kinase domain protein
gene15207	24442235	NW_002476344.1	6469	7195	+	TTHERM_001370780	XM_012798632.1	hypothetical protein
gene15208	24442236	NW_002476344.1	8453	11964	+	TTHERM_001370791	XM_012798633.1	kinase domain protein
gene15209	24442237	NW_002476344.1	12241	13136	+	TTHERM_001370802	XM_012798634.1	transmembrane protein, putative
gene15210	7837412	NW_002476344.1	13898	18820	+	TTHERM_01371770	XM_001020286.2	kinase domain protein
gene15211	24442238	NW_002476344.1	19176	20392	+	TTHERM_001371771	XM_012798635.1	hypothetical protein
gene15212	7837411	NW_002476344.1	22180	24888	+	TTHERM_01371780	XM_001020287.3	kinase domain protein
gene15213	24441006	NW_002476343.1	2519	2801	+	TTHERM_000887988	XM_012798636.1	hypothetical protein
gene15214	24441007	NW_002476343.1	3338	3922	+	TTHERM_000887989	XM_012798637.1	hypothetical protein
gene15215	7837410	NW_002476343.1	3987	4898	+	TTHERM_00887990	XM_001020288.2	hypothetical protein
gene15216	7827742	NW_002476343.1	6182	7672	+	TTHERM_00888000	XM_001020289.2	hypothetical protein
gene15217	7827743	NW_002476343.1	8542	9426	+	TTHERM_00888010	XM_001020290.2	hypothetical protein
gene15218	7827744	NW_002476343.1	10024	10962	-	TTHERM_00888020	XM_001020291.2	DNA-directed RNA polymerase, beta subunit
gene15219	24441008	NW_002476343.1	11783	12082	-	TTHERM_000888021	XM_012798638.1	DNA-directed RNA polymerase
gene15220	7827745	NW_002476343.1	13067	15952	+	TTHERM_00888030	XM_001020292.2	hypothetical protein
gene15221	7827746	NW_002476343.1	16403	20645	-	TTHERM_00888040	XM_001020293.3	hypothetical protein
gene15222	7827747	NW_002476343.1	21980	22837	+	TTHERM_00888050	XM_001020294.1	arylamine N-acetyltransferase
gene15223	7827748	NW_002476343.1	23497	26622	-	TTHERM_00888060	XM_001020295.2	UvrD/REP helicase family protein
gene15224	24441009	NW_002476343.1	28740	32451	+	TTHERM_000888070	XM_012798639.1	hypothetical protein
gene15225	7831040	NW_002476343.1	33636	34459	+	TTHERM_00889070	XM_001020297.3	hypothetical protein
gene15226	24441010	NW_002476343.1	37459	38022	+	TTHERM_000889080	XM_012798640.1	hypothetical protein
gene15227	7831042	NW_002476343.1	42459	43901	+	TTHERM_00890080	XM_001020299.3	hypothetical protein
gene15228	7831043	NW_002476343.1	44140	47330	-	TTHERM_00890090	XM_001020300.2	hypothetical protein
gene15229	7831044	NW_002476343.1	49060	50842	-	TTHERM_00890100	XM_001020301.3	hypothetical protein
gene15230	24441011	NW_002476343.1	54668	64858	+	TTHERM_000890101	XM_012798641.1	WD domain, G-beta repeat protein
gene15231	7831046	NW_002476343.1	65723	66241	+	TTHERM_00890120	XM_001020303.2	peptidyl-prolyl cis-trans isomerase, cyclophilin-type protein
gene15232	7831047	NW_002476343.1	67140	68273	+	TTHERM_00890130	XM_001020304.3	kinesin motor domain protein
gene15233	7831048	NW_002476343.1	69686	70750	+	TTHERM_00890140	XM_001020305.3	kinesin motor domain protein
gene15234	7831049	NW_002476343.1	72200	73090	-	TTHERM_00890150	XM_001020306.1	NAD-dependent epimerase/dehydratase family protein
gene15235	7831050	NW_002476343.1	74415	76477	+	TTHERM_00890160	XM_001020307.2	tetratricopeptide repeat protein
gene15236	7831051	NW_002476343.1	78082	79158	+	TTHERM_00890170	XM_001020308.2	nucleotidyltransferase
gene15237	7831053	NW_002476343.1	79913	81795	-	TTHERM_00890190	XM_001020310.3	transmembrane protein, putative
gene15238	7831054	NW_002476343.1	82918	85263	+	TTHERM_00891190	XM_001020311.3	hypothetical protein
gene15239	7831055	NW_002476343.1	85808	86808	-	TTHERM_00891200	XM_001020312.2	hypothetical protein
gene15240	7831056	NW_002476343.1	88073	91731	+	TTHERM_00891210	XM_001020313.1	cation channel family protein
gene15241	7831057	NW_002476343.1	92333	92734	-	TTHERM_00891220	XM_001020314.1	immobilization antigen
gene15242	7831058	NW_002476343.1	95362	99162	+	TTHERM_00891240	XM_001020316.1	transmembrane protein, putative
gene15243	7831059	NW_002476343.1	99372	100565	-	TTHERM_00891250	XM_001020317.2	transmembrane protein, putative
gene15244	24441012	NW_002476343.1	103039	103650	-	TTHERM_000891259	XM_012798642.1	transmembrane protein, putative
gene15245	7831060	NW_002476343.1	104428	106572	+	TTHERM_00891260	XM_001020318.1	hypothetical protein
gene15246	7831061	NW_002476343.1	107008	107792	-	TTHERM_00891270	XM_001020319.2	transmembrane protein, putative
gene15247	7831062	NW_002476343.1	109284	110333	+	TTHERM_00891280	XM_001020320.1	hypothetical protein
gene15248	7831063	NW_002476343.1	111178	111366	-	TTHERM_00891290	XM_001020321.2	hypothetical protein
gene15249	7831064	NW_002476343.1	114086	115168	+	TTHERM_00891300	XM_001020322.2	transmembrane protein, putative
gene15250	24441013	NW_002476343.1	116019	117366	+	TTHERM_000891310	XM_012798643.1	hypothetical protein
gene15251	24441014	NW_002476343.1	117633	121400	+	TTHERM_000891321	XM_012798644.1	hypothetical protein
gene15252	7831067	NW_002476343.1	124282	125343	+	TTHERM_00892330	XM_001020326.1	hypothetical protein
gene15253	7837387	NW_002476343.1	130513	131610	+	TTHERM_00892350	XM_001020328.4	hypothetical protein
gene15254	24441015	NW_002476343.1	135976	136593	+	TTHERM_000892360	XM_012798645.1	hypothetical protein
gene15255	24441016	NW_002476343.1	136769	137683	+	TTHERM_000892371	XM_012798646.1	hypothetical protein
gene15256	7837392	NW_002476343.1	141674	142567	+	TTHERM_00894380	XM_001020333.1	hypothetical protein
gene15257	7837393	NW_002476343.1	144436	145215	+	TTHERM_00894390	XM_001020334.1	hypothetical protein
gene15258	7837394	NW_002476343.1	146484	148518	-	TTHERM_00894400	XM_001020335.3	nucleoside diphosphate kinase
gene15259	7837395	NW_002476343.1	149757	151430	+	TTHERM_00894410	XM_001020336.3	hypothetical protein
gene15260	7837396	NW_002476343.1	152832	154505	+	TTHERM_00894420	XM_001020337.1	hypothetical protein
gene15261	24441017	NW_002476343.1	156176	156586	-	TTHERM_000894429	XM_012798647.1	hypothetical protein
gene15262	7837397	NW_002476343.1	156899	158082	+	TTHERM_00894430	XM_001020338.2	hypothetical protein
gene15263	24441018	NW_002476343.1	160891	161646	+	TTHERM_000894439	XM_012798648.1	hypothetical protein
gene15264	7837398	NW_002476343.1	162350	164221	+	TTHERM_00894440	XM_001020339.2	hypothetical protein
gene15265	7837399	NW_002476343.1	165290	165979	-	TTHERM_00894450	XM_001020340.3	kinesin heavy chain, putative
gene15266	7837400	NW_002476343.1	166981	168468	-	TTHERM_00894460	XM_001020341.3	MAC/perforin domain protein
gene15267	7837401	NW_002476343.1	169306	170100	+	TTHERM_00894470	XM_001020342.1	hypothetical protein
gene15268	7837402	NW_002476343.1	170922	172487	-	TTHERM_00894480	XM_001020343.2	MAC/perforin domain protein
gene15269	7837404	NW_002476343.1	174945	176510	-	TTHERM_00894500	XM_001020345.2	MAC/perforin domain protein
gene15270	24441019	NW_002476343.1	178951	180042	-	TTHERM_000894519	XM_012798649.1	transmembrane protein, putative
gene15271	7837406	NW_002476343.1	180097	181887	-	TTHERM_00894520	XM_001020347.3	MAC/perforin domain protein
gene15272	7837407	NW_002476343.1	183401	185929	-	TTHERM_00894530	XM_001020348.2	translation elongation factor EF-2 subunit
gene15273	24441020	NW_002476343.1	186692	186988	+	TTHERM_000894531	XM_012798650.1	hypothetical protein
gene15274	24441021	NW_002476343.1	187846	189447	+	TTHERM_000894532	XM_012798651.1	cyclic nucleotide-binding domain protein
gene15275	24441022	NW_002476343.1	189879	191152	-	TTHERM_000894533	XM_012798652.1	Ras family small GTPase
gene15276	24441023	NW_002476343.1	192116	193345	+	TTHERM_000894534	XM_012798653.1	transmembrane protein, putative
gene15277	24441024	NW_002476343.1	197543	197978	+	TTHERM_000894535	XM_012798654.1	hypothetical protein
gene15278	24440713	NW_002476342.1	167	1880	+	TTHERM_000796698	XM_012798655.1	cyclic nucleotide-binding domain protein
gene15279	24440714	NW_002476342.1	3046	14340	+	TTHERM_000796699	XM_012798656.1	kinase domain protein
gene15280	7825383	NW_002476342.1	15693	25471	-	TTHERM_00796700	XM_001020356.2	transmembrane protein, putative
gene15281	24440715	NW_002476342.1	27856	30015	+	TTHERM_000796710	XM_012798657.1	hypothetical protein
gene15282	24440716	NW_002476342.1	30973	42938	+	TTHERM_000796721	XM_012798658.1	kinase domain protein
gene15283	24440717	NW_002476342.1	43686	44501	-	TTHERM_000796732	XM_012798659.1	hypothetical protein
gene15284	24440718	NW_002476342.1	45849	46442	+	TTHERM_000796743	XM_012798660.1	hypothetical protein
gene15285	24440719	NW_002476342.1	47953	48585	+	TTHERM_000796754	XM_012798661.1	transmembrane protein, putative
gene15286	7825389	NW_002476342.1	48614	55779	-	TTHERM_00797770	XM_001020363.2	transmembrane protein, putative
gene15287	7827704	NW_002476342.1	59413	63132	-	TTHERM_00797790	XM_001020365.3	cyclic nucleotide-binding domain protein
gene15288	24440720	NW_002476342.1	64162	66969	+	TTHERM_000797791	XM_012798662.1	cyclic nucleotide-binding domain protein
gene15289	7827705	NW_002476342.1	68034	73218	+	TTHERM_00797810	XM_001020367.3	cyclic nucleotide-binding domain protein
gene15290	7827706	NW_002476342.1	73674	73898	-	TTHERM_00797830	XM_001020369.1	hypothetical protein
gene15291	7827707	NW_002476342.1	76266	77755	-	TTHERM_00797840	XM_001020370.2	hypothetical protein
gene15292	24440721	NW_002476342.1	80107	81762	+	TTHERM_000797841	XM_012798663.1	transmembrane protein, putative
gene15293	7827708	NW_002476342.1	82521	85137	+	TTHERM_00797870	XM_001020371.2	kinase domain protein
gene15294	7827709	NW_002476342.1	85448	90772	-	TTHERM_00797880	XM_001020372.2	zinc finger, C3HC4 type (RING finger) protein
gene15295	7827710	NW_002476342.1	91869	95460	-	TTHERM_00797890	XM_001020373.2	zinc finger, C3HC4 type (RING finger) protein
gene15296	7827711	NW_002476342.1	97193	101348	+	TTHERM_00797900	XM_001020374.3	MFS transporter
gene15297	7827712	NW_002476342.1	103581	103976	-	TTHERM_00797910	XM_001020375.3	FUN14 family containing protein
gene15298	7827713	NW_002476342.1	105440	109164	-	TTHERM_00797930	XM_001020377.3	hypothetical protein
gene15299	7827714	NW_002476342.1	110057	116086	-	TTHERM_00797940	XM_001020378.2	phospholipid-translocating P-type ATPase, flippase family protein
gene15300	24440722	NW_002476342.1	117892	123028	-	TTHERM_000797949	XM_012798664.1	phospholipid-translocating P-type ATPase, flippase family protein
gene15301	7827715	NW_002476342.1	123987	125708	+	TTHERM_00797950	XM_001020379.2	transmembrane protein, putative
gene15302	7827716	NW_002476342.1	125945	130856	-	TTHERM_00797960	XM_001020380.1	phospholipid-translocating P-type ATPase, flippase family protein
gene15303	7827717	NW_002476342.1	132186	137309	-	TTHERM_00797970	XM_001020381.2	phospholipid-translocating P-type ATPase, flippase family protein
gene15304	7827718	NW_002476342.1	138446	140042	-	TTHERM_00797980	XM_001020382.4	tRNA methyltransferase complex GCD14 subunit
gene15305	7827719	NW_002476342.1	140780	143778	+	TTHERM_00797990	XM_001020383.2	hypothetical protein
gene15306	7827720	NW_002476342.1	145271	146473	+	TTHERM_00798000	XM_001020384.3	zinc carboxypeptidase family protein
gene15307	24440723	NW_002476342.1	147293	147954	-	TTHERM_000798009	XM_012798665.1	transmembrane protein, putative
gene15308	7827721	NW_002476342.1	148114	149832	+	TTHERM_00798010	XM_001020385.1	zinc carboxypeptidase family protein
gene15309	7827722	NW_002476342.1	156667	157797	+	TTHERM_00798040	XM_001020388.1	immobilization antigen
gene15310	7827723	NW_002476342.1	158943	159467	-	TTHERM_00798050	XM_001020389.2	hypothetical protein
gene15311	7827724	NW_002476342.1	165693	166808	+	TTHERM_00798060	XM_001020390.1	immobilization antigen
gene15312	24440724	NW_002476342.1	171365	177247	+	TTHERM_000798087	XM_012798666.1	kinase domain protein
gene15313	24440725	NW_002476342.1	177863	178246	+	TTHERM_000798088	XM_012798667.1	hypothetical protein
gene15314	24440726	NW_002476342.1	178272	179029	+	TTHERM_000798089	XM_012798668.1	transmembrane protein, putative
gene15315	7827727	NW_002476342.1	179154	188645	-	TTHERM_00798090	XM_001020393.2	transmembrane protein, putative
gene15316	7827728	NW_002476342.1	190085	191215	-	TTHERM_00798100	XM_001020394.1	transmembrane protein, putative
gene15317	24440727	NW_002476342.1	192236	194389	+	TTHERM_000798119	XM_012798669.1	kinase domain protein
gene15318	7827730	NW_002476342.1	195325	197265	-	TTHERM_00798120	XM_001020396.3	oxalate/formate antiporter family transporter
gene15319	24440728	NW_002476342.1	199008	200948	-	TTHERM_000798138	XM_012798670.1	hypothetical protein
gene15320	24440729	NW_002476342.1	203927	204289	+	TTHERM_000798139	XM_012798671.1	hypothetical protein
gene15321	7827731	NW_002476342.1	204786	206768	+	TTHERM_00798140	XM_001020398.2	oxalate/formate antiporter family transporter
gene15322	24440730	NW_002476342.1	208207	210198	+	TTHERM_000798148	XM_012798672.1	oxalate/formate antiporter family transporter
gene15323	24440731	NW_002476342.1	211301	211760	-	TTHERM_000798149	XM_012798673.1	hypothetical protein
gene15324	7827732	NW_002476342.1	212898	214886	+	TTHERM_00798150	XM_001020399.1	oxalate/formate antiporter family transporter
gene15325	7827733	NW_002476342.1	216163	218067	+	TTHERM_00798160	XM_001020400.1	oxalate/formate antiporter family transporter
gene15326	7827734	NW_002476342.1	219291	221195	+	TTHERM_00798170	XM_001020401.1	oxalate/formate antiporter family transporter
gene15327	7827735	NW_002476342.1	222243	224142	+	TTHERM_00798180	XM_001020402.3	oxalate/formate antiporter family transporter
gene15328	7827736	NW_002476342.1	225417	227315	+	TTHERM_00799180	XM_001020403.1	oxalate/formate antiporter
gene15329	7827737	NW_002476342.1	227944	230822	-	TTHERM_00799190	XM_001020404.1	transmembrane protein, putative
gene15330	7827738	NW_002476342.1	231942	233021	-	TTHERM_00799200	XM_001020405.1	transmembrane protein, putative
gene15331	24440732	NW_002476342.1	233143	233958	-	TTHERM_000799209	XM_012798674.1	hypothetical protein
gene15332	7827739	NW_002476342.1	235047	237669	+	TTHERM_00799210	XM_001020406.2	hypothetical protein
gene15333	7827740	NW_002476342.1	239047	243455	+	TTHERM_00799220	XM_001020407.3	hypothetical protein
gene15334	7825380	NW_002476341.1	1927	2835	-	TTHERM_00934410	XM_001020409.3	GIY-YIG catalytic domain protein
gene15335	7846331	NW_002476341.1	7637	8080	-	TTHERM_00935410	XM_001020410.2	hypothetical protein
gene15336	7825379	NW_002476341.1	8386	11948	+	TTHERM_00935420	XM_001020411.2	kinase domain protein
gene15337	24441140	NW_002476341.1	16496	17057	+	TTHERM_000935423	XM_012798675.1	hypothetical protein
gene15338	24441141	NW_002476341.1	18998	23522	-	TTHERM_000935427	XM_012798676.1	cyclic nucleotide-binding domain protein, putative
gene15339	7846333	NW_002476341.1	26218	26550	-	TTHERM_00935440	XM_001020413.2	hypothetical protein
gene15340	7846334	NW_002476341.1	30891	31172	-	TTHERM_00935450	XM_001020414.2	hypothetical protein
gene15341	7846335	NW_002476341.1	32210	32569	-	TTHERM_00935460	XM_001020415.1	transmembrane protein, putative
gene15342	7846336	NW_002476341.1	37087	37494	-	TTHERM_00935480	XM_001020417.1	transmembrane protein, putative
gene15343	7846337	NW_002476341.1	38325	38684	-	TTHERM_00935490	XM_001020418.1	transmembrane protein, putative
gene15344	7825359	NW_002476341.1	40853	41212	-	TTHERM_00935520	XM_001020421.1	transmembrane protein, putative
gene15345	7825360	NW_002476341.1	42255	42614	-	TTHERM_00935530	XM_001020422.1	transmembrane protein, putative
gene15346	7825361	NW_002476341.1	43747	44286	-	TTHERM_00935540	XM_001020423.2	transmembrane protein, putative
gene15347	7825362	NW_002476341.1	45360	45719	-	TTHERM_00935550	XM_001020424.1	transmembrane protein, putative
gene15348	24441142	NW_002476341.1	46291	47067	-	TTHERM_000935559	XM_012798677.1	transmembrane protein, putative
gene15349	7825363	NW_002476341.1	48348	48707	-	TTHERM_00935560	XM_001020425.1	transmembrane protein, putative
gene15350	24441143	NW_002476341.1	51582	54608	+	TTHERM_000935561	XM_012798678.1	hypothetical protein
gene15351	24441144	NW_002476341.1	55350	55824	+	TTHERM_000935563	XM_012798679.1	hypothetical protein
gene15352	7825365	NW_002476341.1	57346	58716	-	TTHERM_00935580	XM_001020427.1	J immobilization antigen, putative
gene15353	24441145	NW_002476341.1	72780	74033	+	TTHERM_000935590	XM_012798680.1	transmembrane protein, putative
gene15354	24441146	NW_002476341.1	75126	80442	+	TTHERM_000935601	XM_012798681.1	cyclic nucleotide-binding domain protein
gene15355	7825367	NW_002476341.1	81481	91379	-	TTHERM_00936610	XM_001020431.2	Serine/Threonine kinase domain protein
gene15356	24441147	NW_002476341.1	91761	93430	-	TTHERM_000936619	XM_012798682.1	kinase domain protein
gene15357	7825368	NW_002476341.1	95499	102119	+	TTHERM_00936620	XM_001020432.3	translation initiation factor eIF-5A family protein
gene15358	24441148	NW_002476341.1	109806	110580	+	TTHERM_000936630	XM_012798683.1	hypothetical protein
gene15359	7825369	NW_002476341.1	111554	114045	-	TTHERM_00937620	XM_001020433.2	kinase domain protein
gene15360	7825370	NW_002476341.1	114508	115234	-	TTHERM_00937630	XM_001020434.1	transmembrane protein, putative
gene15361	7825371	NW_002476341.1	115546	119901	-	TTHERM_00937640	XM_001020435.2	peptidase M16 inactive domain protein
gene15362	24442785	NW_002476341.1	121305	126802	+	TTHERM_00937650	XM_001020436.3	kinase domain protein
gene15363	7825373	NW_002476341.1	129928	138551	+	TTHERM_00937670	XM_001020438.2	kinase domain protein
gene15364	24441149	NW_002476341.1	141892	149594	+	TTHERM_000937671	XM_012798684.1	kinase domain protein
gene15365	24441150	NW_002476341.1	151513	152175	+	TTHERM_000937673	XM_012798685.1	hypothetical protein
gene15366	7825376	NW_002476341.1	153321	155546	-	TTHERM_00937710	XM_001020442.2	hypothetical protein
gene15367	7825378	NW_002476341.1	159248	167727	+	TTHERM_00937730	XM_001020444.3	REJ domain protein
gene15368	24441151	NW_002476341.1	169779	177869	+	TTHERM_000937731	XM_012798686.1	REJ domain protein
gene15369	24441152	NW_002476341.1	178559	179163	+	TTHERM_000937732	XM_012798687.1	hypothetical protein
gene15370	7846329	NW_002476340.1	87	2332	-	TTHERM_01625900	XM_001020445.2	transmembrane protein, putative
gene15371	7846328	NW_002476340.1	3354	3696	-	TTHERM_01625910	XM_001020446.3	hypothetical protein
gene15372	7846330	NW_002476340.1	5132	7883	-	TTHERM_01626910	XM_001020447.3	transmembrane protein, putative
gene15373	24442500	NW_002476339.1	1425	2039	+	TTHERM_001656029	XM_012798688.1	transmembrane protein, putative
gene15374	7846327	NW_002476339.1	2563	5165	+	TTHERM_01656030	XM_001029256.2	kinase domain protein
gene15375	7846319	NW_002476338.1	6248	13897	-	TTHERM_01351030	XM_001020451.2	WD domain, G-beta repeat protein
gene15376	24442207	NW_002476338.1	14749	15144	-	TTHERM_001351036	XM_012798689.1	hypothetical protein
gene15377	24442208	NW_002476338.1	15436	15789	-	TTHERM_001351043	XM_012798690.1	hypothetical protein
gene15378	7846320	NW_002476338.1	15905	16482	-	TTHERM_01351050	XM_001020453.2	hypothetical protein
gene15379	7846321	NW_002476338.1	18657	19088	-	TTHERM_01351060	XM_001020454.1	kazal-type proteinase inhibitor 1
gene15380	7846323	NW_002476338.1	25712	27775	-	TTHERM_01351080	XM_001020456.2	transmembrane protein, putative
gene15381	7846324	NW_002476338.1	31719	35233	+	TTHERM_01351090	XM_001020457.3	hypothetical protein
gene15382	24442471	NW_002476337.1	2677	3273	-	TTHERM_001576269	XM_012798691.1	hypothetical protein
gene15383	7846318	NW_002476337.1	5434	7395	-	TTHERM_01576270	XM_001029346.2	kinase domain protein
gene15384	7846317	NW_002476337.1	10443	10946	-	TTHERM_01576290	XM_001029348.1	kinase domain protein
gene15385	7846316	NW_002476336.1	1073	4241	-	TTHERM_00470400	XM_001032930.2	DHHC zinc finger protein
gene15386	24439138	NW_002476336.1	6159	6431	+	TTHERM_000470409	XM_012798692.1	Tim10/DDP family zinc finger protein
gene15387	7843506	NW_002476336.1	6694	9027	-	TTHERM_00470420	XM_001032932.2	hypothetical protein
gene15388	7843508	NW_002476336.1	9531	11507	+	TTHERM_00470430	XM_001032933.1	hypothetical protein
gene15389	7843509	NW_002476336.1	12361	14717	+	TTHERM_00470450	XM_001032935.2	hypothetical protein
gene15390	24439139	NW_002476336.1	14895	16945	+	TTHERM_000470451	XM_012798693.1	sulfite exporter TauE/SafE
gene15391	7843507	NW_002476336.1	17633	21938	-	TTHERM_00470460	XM_001032936.2	SacI-like domain protein
gene15392	24439140	NW_002476336.1	22543	23498	+	TTHERM_000470461	XM_012798694.1	transmembrane protein, putative
gene15393	7846315	NW_002476336.1	24912	28579	+	TTHERM_00470470	XM_001032937.2	hypothetical protein
gene15394	7843510	NW_002476336.1	28982	33714	-	TTHERM_00470480	XM_001032938.2	cyclic nucleotide-binding domain protein
gene15395	7843512	NW_002476336.1	34354	39000	+	TTHERM_00470500	XM_001032940.2	Sec7 domain protein
gene15396	7843513	NW_002476336.1	40216	42510	+	TTHERM_00470510	XM_001032941.1	hypothetical protein
gene15397	7843514	NW_002476336.1	42935	43894	+	TTHERM_00470520	XM_001032942.3	carbon-nitrogen family hydrolase
gene15398	7843515	NW_002476336.1	45099	46976	+	TTHERM_00470530	XM_001032943.3	60S ribosomal export protein NMD3, putative
gene15399	7843516	NW_002476336.1	47273	48547	+	TTHERM_00470540	XM_001032944.2	Di-sulfide bridge nucleocytoplasmic transport domain protein
gene15400	24442763	NW_002476336.1	49394	54157	-	TTHERM_00470548	XM_001470629.1	phospholipid-translocating P-type ATPase, flippase family protein
gene15401	7844941	NW_002476336.1	54938	57707	-	TTHERM_00470550	XM_001032945.2	phospholipid-translocating P-type ATPase, flippase family protein
gene15402	7844942	NW_002476336.1	58561	62340	+	TTHERM_00470560	XM_001032946.2	cyclic nucleotide-binding domain protein
gene15403	24439141	NW_002476336.1	63203	64467	-	TTHERM_000470561	XM_012798695.1	hypothetical protein
gene15404	24439142	NW_002476336.1	65389	65679	-	TTHERM_000470563	XM_012798696.1	EF-hand protein
gene15405	7844944	NW_002476336.1	66891	69638	-	TTHERM_00470590	XM_001032949.2	calpain family cysteine protease
gene15406	24439143	NW_002476336.1	70198	73303	+	TTHERM_000470591	XM_012798697.1	hypothetical protein
gene15407	24439144	NW_002476336.1	73592	78049	+	TTHERM_000470593	XM_012798698.1	hypothetical protein
gene15408	7844947	NW_002476336.1	78782	79405	-	TTHERM_00470620	XM_001032952.3	isochorismatase hydrolase
gene15409	7844948	NW_002476336.1	81086	82591	+	TTHERM_00470630	XM_001032953.2	tetratricopeptide repeat protein
gene15410	7844949	NW_002476336.1	84065	84934	+	TTHERM_00470640	XM_001032954.2	transmembrane protein, putative
gene15411	7844950	NW_002476336.1	85709	87000	-	TTHERM_00470650	XM_001032955.3	proteasome subunit beta type protein
gene15412	7844951	NW_002476336.1	87751	88641	+	TTHERM_00470660	XM_001032956.3	hypothetical protein
gene15413	7844952	NW_002476336.1	89103	91340	-	TTHERM_00470670	XM_001032957.2	carboxy-terminus containing arginine-tRNA-protein transferase
gene15414	7844953	NW_002476336.1	93785	94188	-	TTHERM_00470680	XM_001032958.2	hypothetical protein
gene15415	7844954	NW_002476336.1	94725	97105	-	TTHERM_00470690	XM_001032959.3	hypothetical protein
gene15416	7844955	NW_002476336.1	97612	99817	+	TTHERM_00470700	XM_001032960.3	transmembrane protein, putative
gene15417	7844956	NW_002476336.1	100574	100975	+	TTHERM_00470710	XM_001032961.3	acyl carrier protein
gene15418	7844957	NW_002476336.1	101627	102472	-	TTHERM_00470720	XM_001032962.2	hypothetical protein
gene15419	7844958	NW_002476336.1	103503	104435	+	TTHERM_00470730	XM_001032963.1	hypothetical protein
gene15420	24439145	NW_002476336.1	105962	107623	-	TTHERM_000470731	XM_012798699.1	transmembrane protein, putative
gene15421	24439146	NW_002476336.1	108121	109360	+	TTHERM_000470733	XM_012798700.1	transmembrane protein, putative
gene15422	24439147	NW_002476336.1	110276	114412	+	TTHERM_000470735	XM_012798701.1	cation channel family protein
gene15423	24439148	NW_002476336.1	115190	115648	+	TTHERM_000470737	XM_012798702.1	alba protein
gene15424	7844962	NW_002476336.1	116206	118566	-	TTHERM_00470770	XM_001032967.1	cyclic nucleotide-binding domain protein
gene15425	7844963	NW_002476336.1	119168	119854	-	TTHERM_00470780	XM_001032968.2	transmembrane protein, putative
gene15426	7844964	NW_002476336.1	120281	121978	-	TTHERM_00470790	XM_001032969.1	hypothetical protein
gene15427	7844965	NW_002476336.1	124874	129846	+	TTHERM_00470800	XM_001032970.2	transmembrane protein, putative
gene15428	7844966	NW_002476336.1	130736	132211	-	TTHERM_00470810	XM_001032971.3	small guanosine triphosphatase family (GTPase)-like Ras family protein
gene15429	7844967	NW_002476336.1	135729	138063	+	TTHERM_00470830	XM_001032973.1	cyclic nucleotide-binding domain protein
gene15430	7844968	NW_002476336.1	142070	144471	+	TTHERM_00470840	XM_001032974.2	transmembrane protein, putative
gene15431	7844969	NW_002476336.1	146772	153079	+	TTHERM_00470850	XM_001032975.2	transmembrane protein, putative
gene15432	24439149	NW_002476336.1	156392	156712	+	TTHERM_000470869	XM_012798703.1	hypothetical protein
gene15433	7840944	NW_002476336.1	156796	160756	+	TTHERM_00470870	XM_001032977.2	transmembrane protein, putative
gene15434	7840945	NW_002476336.1	161219	163348	-	TTHERM_00470880	XM_001032978.2	hypothetical protein
